Aktivitetstype,Dato,Favoritt,Tittel,Distanse,Totale kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gj.sn. TMB-balanse,Training Stress Score®,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Skritt,Dekompresjon,Beste rundetid,Antall runder,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Løping,2026-05-21 20:05:59,false,"Rødovre Løping","2,44","80","00:13:06","140","149","1,0","169","175","5:23","4:58","7","3","1,09","8,1","9,2","259","50,0 % V / 50,0 % H","0,0","--","--","--","36","Nei","00:02:21,9","3","00:13:06","00:13:06","11","22"
Løping,2026-05-21 19:00:56,false,"Copenhagen Løping","11,00","579","00:56:51","137","174","3,0","166","240","5:10","3:29","17","21","1,18","7,6","9,0","257","50,1 % V / 49,9 % H","0,0","--","--","--","9.012","Nei","00:00:22,1","18","00:53:07","01:02:08","6","18"
Løping,2026-05-19 17:34:56,false,"Copenhagen Løping","11,03","628","00:57:34","136","155","3,0","164","174","5:13","4:39","67","68","1,15","8,6","10,1","250","50,2 % V / 49,8 % H","0,0","--","--","--","8.456","Nei","00:00:02,6","13","00:57:28","01:01:10","11","29"
Basseng,2026-05-18 17:20:26,false,"Basseng","1.600","396","00:39:13","--","--","--","--","--","1:48","1:25","--","--","--","--","--","--","--","0,0","610","37","21","--","Nei","00:00:01,5","26","00:28:49","00:39:50","--","--"
Løping,2026-05-03 08:58:44,false,"Oume City Løping","12,11","1.160","03:47:26","104","147","1,4","108","250","18:46","4:57","1.404","962","0,49","--","--","--","--","0,0","--","--","--","18.576","Nei","00:01:30,6","13","03:10:21","04:02:27","443","1.244"
Løping,2026-04-26 08:33:59,false,"Hamburg Løping","42,49","2.347","03:12:19","160","172","5,0","172","184","4:32","3:55","166","164","1,27","7,4","9,7","232","50,4 % V / 49,6 % H","0,0","--","--","--","32.974","Nei","00:02:05,8","43","03:12:11","03:12:19","1","46"
Løping,2026-04-25 10:51:50,false,"Hamburg Løping","5,24","263","00:32:55","117","142","2,0","163","256","6:17","4:11","173","172","0,99","9,9","9,7","270","50,1 % V / 49,9 % H","0,0","--","--","--","5.176","Nei","00:02:09,2","6","00:32:12","00:37:46","7","156"
Løping,2026-04-21 19:05:41,false,"Copenhagen Løping","9,32","378","00:45:18","132","149","3,2","167","256","4:52","4:12","18","16","1,23","8,0","10,0","241","49,5 % V / 50,5 % H","0,0","--","--","--","7.478","Nei","00:01:03,1","11","00:45:13","00:48:44","8","17"
Løping,2026-04-20 20:32:02,false,"Copenhagen Løping","4,91","208","00:26:52","129","166","2,6","162","171","5:29","5:01","18","20","1,13","--","--","--","--","0,0","--","--","--","4.372","Nei","00:04:49,5","5","00:26:26","00:30:09","11","26"
Løping,2026-04-18 12:47:38,false,"Copenhagen Løping","16,80","899","01:22:30","135","163","3,3","169","192","4:55","3:58","--","--","1,21","8,1","9,9","242","50,7 % V / 49,3 % H","0,0","--","--","--","13.870","Nei","00:03:36,2","17","01:22:21","01:23:47","6.893","6.893"
Løping,2026-04-11 13:28:14,false,"Copenhagen Løping","5,00","268","00:28:49","128","143","1,9","158","207","5:46","4:21","--","--","1,11","9,6","10,3","266","50,0 % V / 50,0 % H","0,0","--","--","--","4.510","Nei","00:00:01,3","6","00:28:04","00:30:11","6.893","6.893"
Løping,2026-04-05 10:19:38,false,"Frederikssund Løping","32,50","1.915","02:42:13","154","173","4,7","168","179","4:59","4:10","--","--","1,20","--","--","--","--","0,0","--","--","--","27.136","Nei","00:02:43,9","33","02:41:57","02:50:16","'-3","6.893"
Løping,2026-04-04 18:51:03,false,"Frederikssund Løping","0,01","--","00:00:27,9","--","--","--","--","--","51:07","--","--","--","--","--","--","--","--","0,0","--","--","--","--","Nei","00:00:01,3","2","00:00:00","00:00:28,6","'-24","6.893"
Løping,2026-04-02 11:00:41,false,"Copenhagen Løping","10,01","541","00:54:50","127","138","2,4","163","173","5:29","5:03","--","--","1,12","--","--","--","--","0,0","--","--","--","8.970","Nei","00:00:08,1","11","00:54:45","00:56:46","14","6.893"
Løping,2026-04-01 17:42:02,false,"Copenhagen Løping","19,49","1.094","01:31:12","152","169","5,0","167","177","4:41","3:55","--","--","1,28","--","--","--","--","0,0","--","--","--","15.238","Nei","00:02:39,8","20","01:31:05","01:33:27","9","11.184"
Løping,2026-03-30 18:57:07,false,"Copenhagen Løping","11,67","619","01:05:54","131","160","2,8","166","176","5:39","4:13","--","--","1,07","--","--","--","--","0,0","--","--","--","10.906","Nei","00:03:29,7","12","01:05:40","01:08:46","6.893","6.893"
Løping,2026-03-28 12:04:40,false,"Copenhagen Løping","25,06","1.423","02:08:37","145","171","4,7","168","179","5:08","2:57","--","--","1,16","--","--","--","--","0,0","--","--","--","21.606","Nei","00:00:45,1","26","02:08:23","02:18:32","6.893","6.893"
Løping,2026-03-21 13:43:50,false,"Copenhagen Løping","29,84","1.588","02:34:11","136","165","3,8","169","177","5:10","3:19","--","--","1,15","--","--","--","--","0,0","--","--","--","25.984","Nei","00:04:31,0","30","02:33:40","02:46:27","6.893","6.893"
Løping,2026-03-15 08:25:29,false,"Saalbach-Hinterglemm Løping","25,72","1.292","02:14:46","136","163","4,2","166","183","5:14","4:10","--","--","1,15","--","--","--","--","0,0","--","--","--","22.352","Nei","00:04:16,9","26","02:14:08","02:18:46","1.100","6.893"
Løping,2026-03-14 05:53:31,false,"Saalbach-Hinterglemm Løping","7,71","437","00:49:40","129","161","3,2","160","183","6:26","5:07","--","--","0,97","--","--","--","--","0,0","--","--","--","7.978","Nei","00:03:47,4","8","00:49:32","00:58:47","6.893","6.893"
Løping,2026-03-08 10:20:23,false,"Copenhagen Løping","22,07","952","01:55:11","134","150","3,3","165","211","5:13","4:36","--","--","1,16","--","--","--","--","0,0","--","--","--","18.998","Nei","00:00:21,8","23","01:55:02","02:07:12","41","6.893"
Løping,2026-03-05 17:05:30,false,"Copenhagen Løping","8,89","364","00:48:32","122","132","2,2","161","196","5:28","4:31","--","--","1,13","--","--","--","--","0,0","--","--","--","7.834","Nei","00:04:49,5","9","00:48:25","00:53:11","6.893","6.893"
